set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
11005-1,Creative Fun,2019,621,900,0,29.99,0,4.4,Nov-20,37.12,33.56,
21043-1,San Francisco,2019,253,565,0,44.99,0,4.7,Nov-21,52.77,62.08,
21055-1,Burj Khalifa,2019,252,333,0,44.99,0,4.9,Oct-21,75.97,94.86,
21148-1,Minecraft Steve BigFig with Parrot,2019,577,159,0,12.99,0,4.9,Jan-20,12.44,28.67,
21149-1,Minecraft Alex BigFig with Chicken,2019,577,160,0,12.99,0,4.8,Jan-20,13.76,24.02,
21150-1,Minecraft Skeleton BigFig with Magma Cube,2019,577,142,0,12.99,0,4.8,Jan-20,14.34,25.74,
21151-1,The End Battle,2019,577,222,2,19.99,0,4.7,Feb-22,23.32,30.16,
21153-1,The Wool Farm,2019,577,260,1,19.99,0,4.6,Oct-21,19.25,18.03,
21154-1,The Blaze Bridge,2019,577,372,4,39.99,2,4.7,Mar-22,31.54,30.15,
21155-1,The Creeper Mine,2019,577,834,4,79.99,2,4.7,Jul-21,99.46,87.42,
21316-1,The Flintstones,2019,576,748,4,54.99,0,5,Jan-21,62.17,75.27,
21317-1,Steamboat Willie,2019,576,751,2,79.99,0,5,Nov-20,97.54,122.21,
21320-1,Dinosaur Fossils,2019,576,911,2,54.99,0,4.8,Jan-22,73.52,64.72,
31086-1,Futuristic Flyer,2019,672,157,0,14.99,0,4.5,Nov-20,14.46,16.13,
31087-1,Dune Buggy,2019,672,147,0,12.99,0,4.7,Nov-20,11.28,13.51,
31091-1,Shuttle Transporter,2019,672,341,0,24.99,0,4.8,Dec-20,26.61,31.63,
31094-1,Race Plane,2019,672,333,1,24.99,1,4.7,Jan-21,25.96,30.26,
31096-1,Twin-Rotor Helicopter,2019,672,569,1,44.99,1,4.7,Jan-21,45.28,49.78,
31098-1,Outback Cabin,2019,672,305,2,24.99,0,4.7,Jan-21,32.17,31.82,
